29.04.2018;129;90,934;78,653;12,281
29.04.2018;3;373,829;177,948;195,881
29.04.2018;79;15 057,98;10 272,19;4 785,79
29.04.2018;74;17 172,10;8 959,02;8 117,17
29.04.2018;60;17 408,08;11 933,25;5 474,83
29.04.2018;32;19 364,82;13 404,47;5 960,35
29.04.2018;41;33 862,23;22 545,89;11 316,35
29.04.2018;6;38 041,67;25 660,01;12 381,65
29.04.2018;54;39 040,14;26 397,13;12 643,01
29.04.2018;1;10 860,19;8 061,89;2 798,30
29.04.2018;2;142,66;138,32;4,32
29.04.2018;4;9 696,27;7 725,73;1 970,53
29.04.2018;5;6 263,40;5 165,44;1 097,96
29.04.2018;7;1 588,81;1 236,61;352,19
29.04.2018;8;1 790,13;1 161,15;628,98
29.04.2018;9;1 224,62;880,76;343,85
29.04.2018;10;6 259,01;4 344,10;1 914,91
29.04.2018;11;4 103,40;3 168,60;934,79
29.04.2018;13;3 452,63;2 961,09;491,54
29.04.2018;14;1 083,96;730,19;353,76
29.04.2018;15;138,28;118,5;19,78
29.04.2018;16;1 364,98;886,01;478,97
29.04.2018;18;8 918,69;6 358,20;2 560,49
29.04.2018;20;17 806,00;12 785,98;5 020,01
29.04.2018;21;4 329,08;2 969,53;1 359,55
29.04.2018;22;8 901,75;6 491,68;2 410,06
29.04.2018;25;26 583,22;17 562,67;9 020,54
29.04.2018;26;8 305,77;7 017,27;1 288,50
29.04.2018;27;2 866,73;2 606,33;260,4
29.04.2018;28;8 402,55;5 708,26;2 694,28
29.04.2018;29;4 117,68;3 148,95;968,72
29.04.2018;30;9 876,11;7 413,76;2 462,34
29.04.2018;31;12,31;8,3;4
29.04.2018;33;2 329,94;1 824,57;505,37
29.04.2018;34;4 409,45;3 025,31;1 384,13
29.04.2018;35;3 325,68;2 562,04;763,63
29.04.2018;36;5 253,91;3 930,88;1 323,02
29.04.2018;37;7 360,19;5 657,89;1 702,30
29.04.2018;39;21 877,05;15 532,56;6 344,48
29.04.2018;40;5 602,39;4 311,31;1 291,08
29.04.2018;42;29 204,21;17 193,25;12 010,95
29.04.2018;43;1,04;0,76;0,28
29.04.2018;45;12 047,42;9 271,66;2 775,75
29.04.2018;46;1 262,55;976,47;286,07
29.04.2018;47;2 440,11;2 108,92;331,19
29.04.2018;48;2 052,84;1 673,68;379,15
29.04.2018;49;15 189,33;10 538,94;4 650,38
29.04.2018;50;4 258,11;3 242,57;1 015,53
29.04.2018;51;39 547,04;28 028,47;11 518,57
29.04.2018;52;2 611,59;1 881,32;730,26
29.04.2018;56;12 916,47;8 748,70;4 167,77
29.04.2018;57;179,67;164,29;15,37
29.04.2018;58;1 706,41;1 339,67;366,74
29.04.2018;61;8 170,20;6 781,69;1 388,50
29.04.2018;63;239,42;187,59;51,83
29.04.2018;65;4 616,45;3 742,64;873,8
29.04.2018;66;212,79;155,76;57,02
29.04.2018;67;86,53;60,09;26,42
29.04.2018;68;7 953,60;6 430,95;1 522,64
29.04.2018;69;536,83;455,27;81,56
29.04.2018;70;18 610,34;12 738,66;5 871,67
29.04.2018;72;1 595,23;1 358,28;236,94
29.04.2018;73;37 372,48;30 335,91;7 036,56
29.04.2018;75;16 236,24;11 178,50;5 057,73
29.04.2018;76;2 032,24;1 667,95;364,29
29.04.2018;77;16 884,07;11 428,74;5 455,32
29.04.2018;78;25 648,88;18 840,66;6 808,22
29.04.2018;81;0,43;0,39;0,03
29.04.2018;82;9 312,29;7 608,66;1 703,63
29.04.2018;83;233,09;208,25;24,83
29.04.2018;84;4 877,97;4 088,41;789,55
29.04.2018;85;331,56;267,72;63,84
29.04.2018;86;900,87;783,54;117,32
29.04.2018;87;14 887,50;10 826,06;4 061,44
29.04.2018;88;8 344,70;5 594,74;2 749,95
29.04.2018;89;7 134,80;5 726,61;1 408,19
29.04.2018;90;16 846,90;12 551,47;4 295,42
29.04.2018;91;6 869,28;5 928,37;940,91
29.04.2018;93;16 940,58;10 411,55;6 529,03
29.04.2018;94;65 466,60;51 119,15;14 347,44
29.04.2018;96;4 309,39;3 429,46;879,93
29.04.2018;97;62,35;37,48;24,87
29.04.2018;98;21 398,45;15 623,39;5 775,05
29.04.2018;100;8 985,70;6 610,02;2 375,66
29.04.2018;101;2 322,81;1 872,36;450,44
29.04.2018;102;2 061,77;1 457,39;604,38
29.04.2018;103;68 076,36;48 097,32;19 979,03
29.04.2018;107;5 202,36;4 675,86;526,49
29.04.2018;109;29 355,72;23 166,56;6 189,15
29.04.2018;110;1 143,30;927,73;215,55
29.04.2018;111;3 853,77;2 785,22;1 068,54
29.04.2018;112;62 898,83;48 853,12;14 045,70
29.04.2018;113;1 829,29;1 244,07;585,21
29.04.2018;114;8 080,61;6 554,67;1 525,93
29.04.2018;115;20 894,91;16 540,28;4 354,62
29.04.2018;116;27 165,05;22 396,79;4 768,26
29.04.2018;117;26 027,85;14 334,74;11 693,04
29.04.2018;119;1 362,55;1 046,12;316,43
29.04.2018;120;4,8;4,8;0
29.04.2018;121;6 889,00;5 065,98;1 823,02
29.04.2018;122;10 655,86;5 392,96;5 262,90
29.04.2018;123;5 246,47;3 840,40;1 406,06
29.04.2018;124;16 058,68;11 803,24;4 255,43
29.04.2018;125;5 803,50;4 612,93;1 190,56
29.04.2018;126;13 872,62;10 432,77;3 439,84
29.04.2018;129а;118,1;117,02;1,07
29.04.2018;131;0,63;0,47;0,16
29.04.2018;132;907,55;714,61;192,94
